1.740398794924707948e-01 3.538154441277560069e-01 5.562866865166805619e-01 1.745949376651972917e-01 5.948617601373497044e-01 7.139061764419334377e-01 7.838648542028150423e-01 4.031524774633910013e-01 9.018991807857646981e-01 8.115400982173772704e-01
3.856081073002931570e-01 5.283007016224267050e-01 9.898335308019101664e-02 8.676122833460668815e-01 4.528034381305183764e-01 4.088329177713287965e-01 5.848672451963410346e-03 1.646771376280371513e-01 6.445091803451480361e-01 7.328224854650797759e-01
6.005887619382156428e-01 7.516976225339122575e-02 1.183904195980636231e-01 8.092876595688507368e-01 8.501881031177840331e-01 8.594597921118689587e-01 5.310308768346655439e-01 5.337820045641893385e-01 7.592949390278019850e-01 4.459260189787707107e-01
6.538458871058445698e-01 1.353674667852274860e-01 2.629663319168213942e-01 4.805223576815691455e-01 8.512153784639295839e-01 3.363090216285326006e-01 7.057789670572867102e-02 5.000347550798395213e-01 4.205488891648978544e-02 5.378132414100281755e-01
4.002106812084827991e-01 3.366870824089215342e-01 8.654337076936251538e-01 3.021783968466293935e-01 8.291761387406862971e-01 4.293714307105178651e-01 5.369428374717153396e-01 6.819845496144034680e-01 5.538843053155317886e-01 4.497512935932722611e-01
5.885431360643309517e-01 9.603158731876518805e-01 1.830261599049846089e-01 4.867213600997001288e-01 9.543536382241875060e-01 6.958126555410959480e-01 2.542427275120797692e-01 5.151103675944891380e-01 5.756019790020743265e-01 8.275851593898397862e-02
6.970043794103993884e-01 4.612177885053215798e-01 1.273349585213097157e-01 4.462954453173478830e-01 7.992846883469139074e-01 3.187563482579104379e-01 4.031615367098042579e-01 1.188910790639248205e-01 5.272691809474426838e-01 8.438475432591244774e-01
9.952617119061053508e-01 1.339420231285404217e-02 3.299505999023873981e-01 5.749649424309691836e-01 7.387981872838011999e-02 4.881279859267515508e-01 9.714055132437692253e-01 9.295384988382062730e-01 1.916241731657989389e-01 2.273183268108039945e-01
7.232870716365384922e-01 1.514100056517424520e-01 1.353114414753664452e-01 7.068167399198777012e-01 9.469710591365250174e-01 3.121804025128722682e-01 4.373066191733304686e-01 2.238648519459001118e-01 8.669593696186889131e-01 5.746868630754076168e-02
7.348470099328308081e-01 4.926985950299580530e-01 3.153097255043517677e-01 4.985751311128872043e-01 8.983383119181274079e-01 2.966646150943994531e-01 6.976095441551516396e-01 9.519667863268017616e-01 8.047201466853186602e-01 7.437868136354174320e-01
